"5aaf","<X1e>ディーナ<X04>
<IF0013><JUMP5ce3><SET0013>アトラス、あなたも 知っていると
思いますが 陛下たちの行方が
わからなくなってしまいました。

<CH0>
ええ、ハンス大統領にききました。
でも ひとつ心当たりがあるんです。

これから 調べに行くところなので
父上たちのことは 秘密にしておいて
ください。

<X1e>ディーナ<X04>
まあ !! それは どういうことなの？

<CH0>
もう少し 待っていてください。
今は あまり詳しいことは言えません。

<X1e>ディーナ<X04>
そうですか ･ ･ ･
アトラス、あなたも かなり りっぱになったのですね。

もう あなたに いろいろと言うのは
やめます、自分がいいと思うとおりにしなさい。<WAIT>
でも 命だけは 大切にするのですよ。<END>
<LOC5ce3>今は あなたたちだけが 頼りです。
早く 陛下たちの 行方をつかんで
ください。",""
"5d2e","<X1e>フェリシア<X04>
いいですか アトラス。
勇気と無謀というのは 違いますよ。
良く考えて 行動しなさい。",""
"5d8d","<X1e>兵士<X04>
王子さま、まだ セリオスさまに
合流なさって いないのですか？",""
"5dd0","<X1e>兵士<X04>
竜の卵の 近くには モンスターが
たくさんいますから 近づかない
ように なさってください。",""
"5e2e","<X1e>兵士<X04>
竜の卵から 離れている所では あまりモンスターを見かけません。竜の卵は避けたほうが よいでしょう。",""
"5e95","<X1e>兵士<X04>
モンスターが 現れてから スライムを見かけなくなりました。

そのため 体力作りが できなくなって困っているんです。",""
"5f0a","<X1e>兵士<X04>
王子さま もう あのドラゴンには
乗られたのですか？",""
"5f43","<X1e>兵士<X04>
今のところ ルディアの 近くでは
あまりモンスターを 見かけません。
お城のほうは 安心なさってください。",""
"5faf","<X1e>兵士<X04>
セリオスさまが 戻られるまでは
モンスターから 攻撃してこない限り
応戦するな とのことです。",""
"6010","<X1e>兵士<X04>
セリオスさまに 合流するまでは
あまり 無理をしないように
してください。",""
"605e","<X1e>教育係 ラウエル<X04>
<Xf6f7d5><JUMP6107>おお そうでしたな。
もう その親書は あまり意味が
なくなったようですな。

私が お預かりしましょう。

<ASMd604><X0e><X1c>を 渡しました。
<X04><ASMd60c><X0e><X1c>を 渡しました。<X0c0301><X04>

<LOC6107>王子さま 一刻も早く セリオスさまをお探しください。",""
