"5c31","<X1e>ディーナ王妃<X04>
<IF_NOT00f0><JUMP5d14>あなたたちも 知っているでしょうが
モレストンとソルディスにある
竜の卵は 正常になったそうです。

それなのに こちらでは 正常に
なるどころか ますます モンスターの数が増えているということが
理解できないのです。

<LOC5d14>アトラス、今となっては あなたしか
いません。

モンスターに 苦しめられている
人々のためにも 一刻も早く 原因を
突き止め 昔のように 平和な世界に
してください。

国王さまも そう望んでおられる
ことでしょう。",""
"5ddd","<X1e>フェリシア<X04>
いいですか アトラス。
勇気と無謀というのは 違いますよ。
良く考えて 行動しなさい。",""
"5e3c","<X1e>兵士<X04>
<IF_NOT00f0><JUMP5eab>モンスターが 増えたといっても
ここは 竜の卵からは はなれています。お城のことは 安心してください。<END>
<LOC5eab>どうして モンスターどもが
いなくなったのでしょうか？",""
"5ee0","<X1e>兵士<X04>
<IF_NOT00f0><JUMP5f43>竜の卵の 近くには いままで以上に
モンスターが たくさんいますから
気をつけてください。<END>
<LOC5f43>モンスターが 増える 前ぶれとして
いったん モンスターどもが いなく
なったのではないでしょうか。
",""
"5fa3","<IF_NOT00f0><JUMP6015><X1e>兵士<X04>
竜の卵から 離れている所では あまりモンスターを 見かけないのです。
竜の卵は 避けたほうが いいですよ。<END>
<LOC6015><X1e>兵士<X04>
セリオスさまたちが あのように
大けがを なさるとは ･ ･ ･
王子さまも お気をつけください。",""
"6074","<X1e>兵士<X04>
ソルディスでは 司祭 バーバラさまが竜の卵を 正常にしたという うわさが広がっているそうです。",""
"60d6","<X1e>兵士<X04>
王子さま セリオスさまたちは どこであのようなけがを されたのですか？",""
"6121","<X1e>兵士<X04>
竜の卵が 正常になった所もあれば
モンスターが 増えた所もある。
何が何だか さっぱりわかりません。",""
"6188","<X1e>兵士<X04>
王子さま あまり 無理をしないようにしてください。",""
"61c0","<X1e>教育係 ラウエル<X04>
<Xf6ffd6><JUMP6269>おお そうでしたな。
もう その親書は あまり意味が
なくなったようですな。

私が お預かりしましょう。

<ASMd70c><X0e><X1c>を 渡しました。
<X04><ASMd714><X0e><X1c>を 渡しました。<X0c0301><X04>

<LOC6269>王子さま どうか 無理をなさらずに
元気な姿で お戻りください。",""
"62a6","<X1e>セリオス<X04>
<JUMP62cf><LOC62b4><X1e>エリオン<X04>
<JUMP62cf><LOC62c2><X1e>ゲイル３世<X04>
<LOC62cf> ･ ･ ･ ･ ･ ･ ･ ･ ･ ･ ･ ･ ･ ･ ･ ･ ･",""
"62f2","<SET0014><SET0015><X1e>兵士<X04>
たいへんです 王子さま !!
モンスターが 急に増えてきました。

<Xf9000202><Xf7><CH0>
なに !? どういうことだ？

<X1e>兵士<X04>
いままでの倍以上になっています。

<X1e>大盗賊 ゲイル<X04>
モンスターだと？
そんなの いつから出てきたんじゃ？

<Xf9000206><Xf7><CH0>
ゲイルさんが 地底に入ってからだと
きいています。

<X1e>大盗賊 ゲイル<X04>
そうか そうじゃったのか。
だから あんな話を ･ ･ ･

<CH0>
何か 知っているんですか？

<X1e>大盗賊 ゲイル<X04>
以前 ガードが モンスターを出して
どうのこうのと 言っていたんじゃ。

しかし その時は 城の中をないしょで散歩してたので きいているひまなど
ありゃせんかった ･ ･ ･

まあ またナレサ隊長に 何かやれば
そのくらいのことは 教えてくれる
じゃろう。<WAIT>
さっそく 行ってみねば。

<CH0>
ゲイルさん。
ぼくも いっしょに行きます。

<X1e>大盗賊 ゲイル<X04>
いや わしひとりのほうが なにかと
便利なんじゃ。<WAIT>
まだ現役じゃからな。

<CH0>
わかりました。

でも ぼくたちも 地底に行って
レジスタンスたちに いろいろと
きいてみます。

あとで イズーの屋敷に 行きます。

<X1e>大盗賊 ゲイル<X04>
そうじゃな それがいい。
それまでに ナレサ隊長から 情報を
ききだしておこう。

<X1c>大盗賊 ゲイルは ワプの翼を使った。<X04><ASMd693><X08><CH0>
さあ みんな、地底に行こう。

<CH2>
あの アトラスさま。
私は フレイアさまを さがさなくてはいけないのですが ･ ･ ･

<CH0>
そうだったね。<WAIT>
もともと 君の目的は フレイアさまをさがすことだったんだよね。

それじゃ きみは 父上のぐあいが
よくなるまで ここにいればいいよ。

<CH2>
でも じっとしていられないんです。
セリオスさまとも お話ししたいので
必ず戻ってきます。

<CH1>
もう わがままな お嬢さんだな。
アトラス、このお嬢さんは まかせろ。おれが いっしょに 行ってやるぜ。

<CH0>
それなら安心だ。
シンディはどうする？

<CH3>
シンディ ここにいる。

<CH0>
えっ !?

<CH3>
この人 知ってる。

<CH2>
それじゃ シンディの 知っている
アトラスさまに 似ている人って
セリオスさまだったの？

<CH3>
シンディ わからない。

<CH1>
もう めんどうな やつだな。

シンディ、もしお前が 国王さまを
知っていてもな 国王さまを こんなにしちまったのは ガードたちなんだぜ。

<CH3>
シンディ ガードにくい。<WAIT>
かたき うつ。

<CH1>
そうだろ わかりゃいいんだよ。
お前 だんだん ものわかりが
よくなってきた みてえじゃねえか。

<ASMd71c>それじゃあ これからは 別行動だな
アトラス むりすんなよ。

<CH0>
ありがとう ランドー。
フローラを 守ってあげてくれ。

<CH1>
ああ まかせとけって。
じゃ お嬢さま まずは どちらに
参りましょうか？

<CH2>
ランドーさん からかわないで。

<CH1>
じゃあ ラヌーラにでも 行くか。

<X1c>ランドーは ワプの翼を使った。<X04><RET_IL>",""
